iter,lo,hi,mid,side,bbox,feasible,attempts,time_s
1,0.075,0.15,0.075,542,308x4142,0,1,128.9
2,0.11249999999999999,0.15,0.11249999999999999,552,274x4097,0,1,120.9
3,0.13124999999999998,0.15,0.13124999999999998,556,251x3936,0,1,129.5
4,0.140625,0.15,0.140625,559,306x3712,0,1,153.2
5,0.140625,0.1453125,0.1453125,560,276x3449,1,3,153.2
6,0.140625,0.14296875,0.14296875,559,316x3656,1,3,20.9
7,0.141796875,0.14296875,0.141796875,559,314x3803,0,3,427.2
8,0.141796875,0.1423828125,0.1423828125,559,242x3814,1,3,32.8
9,0.14208984375,0.1423828125,0.14208984375,559,277x3643,0,3,313.7
10,0.14208984375,0.142236328125,0.142236328125,559,261x3833,1,3,290.2
11,0.14208984375,0.1421630859375,0.1421630859375,559,325x4017,1,3,135.2
