iter,lo,hi,mid,side,bbox,feasible,attempts,time_s
1,0.075,0.15,0.075,440,270x1912,0,2,6.3
2,0.11249999999999999,0.15,0.11249999999999999,447,315x1945,0,2,6.3
3,0.11249999999999999,0.13124999999999998,0.13124999999999998,451,295x1924,1,2,6.2
4,0.11249999999999999,0.12187499999999998,0.12187499999999998,449,278x1888,1,2,4.7
5,0.11718749999999999,0.12187499999999998,0.11718749999999999,448,224x1801,0,5,7.7
6,0.11718749999999999,0.11953124999999998,0.11953124999999998,449,268x1990,1,5,6.8
7,0.11718749999999999,0.11835937499999999,0.11835937499999999,449,306x1875,1,5,7.2
8,0.11718749999999999,0.1177734375,0.1177734375,448,356x1866,1,5,7.5
9,0.11718749999999999,0.11748046874999998,0.11748046874999998,448,378x1965,1,5,8.6
10,0.11718749999999999,0.11733398437499998,0.11733398437499998,448,309x1820,1,5,8.5
11,0.11718749999999999,0.11726074218749999,0.11726074218749999,448,279x1816,1,5,7.8
