iter,lo,hi,mid,side,bbox,feasible,attempts,time_s
1,0.075,0.15,0.075,435,249x2504,0,2,98.6
2,0.075,0.11249999999999999,0.11249999999999999,443,228x2591,1,2,87.7
3,0.09375,0.11249999999999999,0.09375,439,254x2438,0,2,86.1
4,0.103125,0.11249999999999999,0.103125,441,264x2737,0,2,83.7
5,0.103125,0.10781249999999999,0.10781249999999999,442,262x2672,1,5,98.3
6,0.103125,0.10546875,0.10546875,441,247x2528,1,5,99.3
7,0.103125,0.104296875,0.104296875,441,260x2579,1,5,99.1
8,0.103125,0.10371093749999999,0.10371093749999999,441,261x2777,1,5,95.7
9,0.103125,0.10341796874999999,0.10341796874999999,441,264x2511,1,5,98.4
10,0.103271484375,0.10341796874999999,0.103271484375,441,264x2466,0,5,99.2
11,0.10334472656249999,0.10341796874999999,0.10334472656249999,441,247x2597,0,5,97.4
